symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-lpg,highway-mpg,price,price-binned,horsepower-binned,diesel,gas
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.4615384615384619,-1.7021933752164804,2385,rotor,two,70,4bbl,,,9.4,101,6000.0,13.823529411764707,23,13645.0,Low,Low,0,1
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.4615384615384619,-1.7021933752164804,2500,rotor,two,80,mpfi,,,9.4,135,6000.0,14.6875,23,15645.0,Low,Medium,0,1
1,129,mazda,std,two,hatchback,fwd,front,98.8,0.8543969245555022,0.52991452991453,-0.027235094003462152,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,8845.0,Low,Low,0,1
0,115,mazda,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.52991452991453,0.7081124440900566,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,8495.0,Low,Low,0,1
1,129,mazda,std,two,hatchback,fwd,front,98.8,0.8543969245555022,0.52991452991453,-0.027235094003462152,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,10595.0,Low,Low,0,1
0,115,mazda,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.52991452991453,0.7081124440900566,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,10245.0,Low,Low,0,1
0,122,mazda,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.52991452991453,0.7081124440900566,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650.0,6.527777777777778,42,10795.0,Low,Low,1,0
0,115,mazda,std,four,hatchback,fwd,front,98.8,0.8543969245555022,0.52991452991453,0.7081124440900566,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,11245.0,Low,Low,0,1
0,118,mazda,std,four,sedan,rwd,front,104.9,0.8409418548774628,0.49572649572649535,0.258733393032905,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,12.368421052631579,27,18280.0,Low,Medium,0,1
0,122,mazda,std,four,sedan,rwd,front,104.9,0.8409418548774628,0.49572649572649535,0.258733393032905,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200.0,7.580645161290323,39,18344.0,Low,Low,1,0
-1,93,mercedes-benz,turbo,four,sedan,rwd,front,110.0,0.9173474291206152,0.8547008547008544,1.1166388541420122,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,25,25552.0,Medium,Medium,1,0
-1,93,mercedes-benz,turbo,four,wagon,rwd,front,110.0,0.9173474291206152,0.8547008547008544,2.0153969562563154,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,25,28248.0,Medium,Medium,1,0
0,93,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,0.9010091302258529,0.8547008547008544,0.4629965980588827,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,25,28176.0,Medium,Medium,1,0
-1,93,mercedes-benz,turbo,four,sedan,rwd,front,115.6,0.9735703988467083,0.9743589743589746,1.03493357213162,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,25,31600.0,Medium,Medium,1,0
-1,122,mercedes-benz,std,four,sedan,rwd,front,115.6,0.9735703988467083,0.9743589743589746,1.1166388541420122,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,14.6875,18,34184.0,High,Medium,0,1
3,142,mercedes-benz,std,two,convertible,rwd,front,96.6,0.8664103796251803,0.8717948717948718,-1.2119616831541355,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,14.6875,18,35056.0,High,Medium,0,1
0,122,mercedes-benz,std,four,sedan,rwd,front,120.9,1.0,0.9743589743589746,1.1983441361524043,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500.0,16.785714285714285,16,40960.0,High,Medium,0,1
1,122,mercedes-benz,std,two,hardtop,rwd,front,112.0,0.9572320999519461,1.0,0.6672598030848605,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500.0,16.785714285714285,16,45400.0,High,Medium,0,1
1,122,mercury,turbo,two,hatchback,rwd,front,102.7,0.857280153772225,0.6581196581196582,0.4221439570536866,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000.0,12.368421052631579,24,16503.0,Low,Medium,0,1
2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.35042735042735107,-1.2119616831541355,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,6.351351351351352,41,5389.0,Low,Low,0,1
2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.35042735042735107,-1.2119616831541355,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6189.0,Low,Low,0,1
2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.35042735042735107,-1.2119616831541355,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6669.0,Low,Low,0,1
1,161,mitsubishi,turbo,two,hatchback,fwd,front,93.0,0.7558865929841423,0.2991452991452991,-1.2119616831541355,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,9.791666666666666,30,7689.0,Low,Low,0,1
3,153,mitsubishi,turbo,two,hatchback,fwd,front,96.3,0.8313310908217203,0.4358974358974365,-1.7838986572268727,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,30,9959.0,Low,Low,0,1
3,153,mitsubishi,std,two,hatchback,fwd,front,96.3,0.8313310908217203,0.4358974358974365,-1.7838986572268727,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,32,8499.0,Low,Low,0,1
3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5128205128205127,-1.4570775291853064,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000.0,12.368421052631579,24,12629.0,Low,Medium,0,1
3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5128205128205127,-1.4570775291853064,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,24,14869.0,Low,Medium,0,1
3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5128205128205127,-1.4570775291853064,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,24,14489.0,Low,Medium,0,1
1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.4358974358974365,-0.8851405551125693,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,32,6989.0,Low,Low,0,1
1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.4358974358974365,-0.8851405551125693,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,32,8189.0,Low,Low,0,1
1,125,mitsubishi,turbo,four,sedan,fwd,front,96.3,0.8284478616049976,0.4358974358974365,-0.8851405551125693,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,30,9279.0,Low,Low,0,1
-1,137,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.4358974358974365,-0.8851405551125693,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,30,9279.0,Low,Low,0,1
1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.2995860340381011,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,5499.0,Low,Low,0,1
1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.2995860340381011,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,5.222222222222222,50,7099.0,Low,Low,1,0
1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.2995860340381011,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,6649.0,Low,Low,0,1
1,122,nissan,std,four,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.2995860340381011,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,6849.0,Low,Low,0,1
1,103,nissan,std,four,wagon,fwd,front,94.5,0.8178760211436809,0.2991452991452991,-0.10894037601385442,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7349.0,Low,Low,0,1
1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.2995860340381011,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7299.0,Low,Low,0,1
1,128,nissan,std,two,hatchback,fwd,front,94.5,0.7957712638154734,0.2991452991452991,-0.19064565802424668,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7799.0,Low,Low,0,1
1,122,nissan,std,four,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.2995860340381011,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7499.0,Low,Low,0,1
1,103,nissan,std,four,wagon,fwd,front,94.5,0.8178760211436809,0.2991452991452991,-0.10894037601385442,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7999.0,Low,Low,0,1
2,168,nissan,std,two,hardtop,fwd,front,95.1,0.7803940413262855,0.2991452991452991,-0.19064565802424668,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,8249.0,Low,Low,0,1
0,106,nissan,std,four,hatchback,fwd,front,97.2,0.8332532436328689,0.4188034188034192,0.38129131604849337,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.703703703703704,34,8949.0,Low,Low,0,1
0,106,nissan,std,four,sedan,fwd,front,97.2,0.8332532436328689,0.4188034188034192,0.38129131604849337,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.703703703703704,34,9549.0,Low,Low,0,1
0,128,nissan,std,four,sedan,fwd,front,100.4,0.8731379144641999,0.52991452991453,0.544701880069275,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.823529411764707,22,13499.0,Low,Medium,0,1
0,108,nissan,std,four,wagon,fwd,front,100.4,0.8870735223450265,0.52991452991453,0.9532282901212306,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.823529411764707,22,14399.0,Low,Medium,0,1
0,108,nissan,std,four,sedan,fwd,front,100.4,0.8870735223450265,0.52991452991453,0.544701880069275,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,12.368421052631579,25,13499.0,Low,Medium,0,1
3,194,nissan,std,two,hatchback,rwd,front,91.3,0.8202787121576165,0.6495726495726502,-1.6613407342112843,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,12.368421052631579,25,17199.0,Low,Medium,0,1
3,194,nissan,turbo,two,hatchback,rwd,front,91.3,0.8202787121576165,0.6495726495726502,-1.6613407342112843,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200.0,13.823529411764707,23,19699.0,Medium,High,0,1
1,231,nissan,std,two,hatchback,rwd,front,99.2,0.857760691975012,0.6495726495726502,-1.6613407342112843,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,12.368421052631579,25,18399.0,Low,Medium,0,1
0,161,peugot,std,four,sedan,rwd,front,107.9,0.897164824603556,0.6923076923076928,1.1983441361524043,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.368421052631579,24,11900.0,Low,Low,0,1
0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.897164824603556,0.6923076923076928,1.1983441361524043,3197,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.392857142857142,33,13200.0,Low,Low,1,0
0,122,peugot,std,four,wagon,rwd,front,114.2,0.9557904853435849,0.6923076923076928,2.0153969562563154,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.368421052631579,24,12440.0,Low,Low,0,1
0,122,peugot,turbo,four,wagon,rwd,front,114.2,0.9557904853435849,0.6923076923076928,2.0153969562563154,3430,l,four,152,idi,3.7,3.52,21.0,95,4150.0,9.4,25,13860.0,Low,Low,1,0
0,161,peugot,std,four,sedan,rwd,front,107.9,0.897164824603556,0.6923076923076928,1.1983441361524043,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,12.368421052631579,24,15580.0,Low,Low,0,1
0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.897164824603556,0.6923076923076928,1.1983441361524043,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.392857142857142,33,16900.0,Low,Low,1,0
0,122,peugot,std,four,wagon,rwd,front,114.2,0.9557904853435849,0.6923076923076928,1.1983441361524043,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,12.368421052631579,24,16695.0,Low,Low,0,1
0,122,peugot,turbo,four,wagon,rwd,front,114.2,0.9557904853435849,0.6923076923076928,2.0153969562563154,3485,l,four,152,idi,3.7,3.52,21.0,95,4150.0,9.4,25,17075.0,Low,Low,1,0
0,161,peugot,std,four,sedan,rwd,front,107.9,0.897164824603556,0.6923076923076928,1.1983441361524043,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.368421052631579,24,16630.0,Low,Low,0,1
0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.897164824603556,0.6923076923076928,1.1983441361524043,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.392857142857142,33,17950.0,Low,Low,1,0
0,161,peugot,turbo,four,sedan,rwd,front,108.0,0.897164824603556,0.6837606837606836,0.9123756491160344,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600.0,13.055555555555555,24,18150.0,Low,Medium,0,1
1,119,plymouth,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2119616831541355,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,6.351351351351352,41,5572.0,Low,Low,0,1
1,119,plymouth,turbo,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2119616831541355,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,9.791666666666666,30,7957.0,Low,Low,0,1
1,154,plymouth,std,four,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.293666965164525,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6229.0,Low,Low,0,1
1,154,plymouth,std,four,sedan,fwd,front,93.7,0.8039404132628545,0.2991452991452991,-1.2119616831541355,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6692.0,Low,Low,0,1
1,154,plymouth,std,four,sedan,fwd,front,93.7,0.8039404132628545,0.2991452991452991,-1.2119616831541355,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,7609.0,Low,Low,0,1
